,border color,figure,time
0,red,X,1636633620.8005815
1,blue,Y,1636633622.839844
2,red,X,1636633624.8560736
3,blue,Y,1636633626.871279
4,blue,X,1636633628.8866212
5,blue,X,1636633630.9012446
6,blue,Y,1636633632.9154563
7,blue,X,1636633634.9315438
8,red,Y,1636633636.94757
9,red,Y,1636633638.9627106
10,red,Y,1636633640.9834485
11,blue,Y,1636633642.9989686
12,blue,Y,1636633645.0141387
13,blue,Y,1636633647.0306075
14,red,X,1636633649.0476918
15,red,Y,1636633651.0633137
16,blue,Y,1636633653.0800233
17,blue,X,1636633655.0956416
18,blue,Y,1636633657.1142294
19,blue,X,1636633659.1310272
20,blue,X,1636633661.14895
21,blue,Y,1636633663.1649609
