	device_time_stamp	system_time_stamp	UTC	left_gaze_point_on_display_area_x	left_gaze_point_on_display_area_y	left_gaze_point_in_user_coordinate_system_x	left_gaze_point_in_user_coordinate_system_y	left_gaze_point_in_user_coordinate_system_z	left_gaze_origin_in_trackbox_coordinate_system_x	left_gaze_origin_in_trackbox_coordinate_system_y	left_gaze_origin_in_trackbox_coordinate_system_z	left_gaze_origin_in_user_coordinate_system_x	left_gaze_origin_in_user_coordinate_system_y	left_gaze_origin_in_user_coordinate_system_z	left_pupil_diameter	left_pupil_validity	left_gaze_origin_validity	left_gaze_point_validity	right_gaze_point_on_display_area_x	right_gaze_point_on_display_area_y	right_gaze_point_in_user_coordinate_system_x	right_gaze_point_in_user_coordinate_system_y	right_gaze_point_in_user_coordinate_system_z	right_gaze_origin_in_trackbox_coordinate_system_x	right_gaze_origin_in_trackbox_coordinate_system_y	right_gaze_origin_in_trackbox_coordinate_system_z	right_gaze_origin_in_user_coordinate_system_x	right_gaze_origin_in_user_coordinate_system_y	right_gaze_origin_in_user_coordinate_system_z	right_pupil_diameter	right_pupil_validity	right_gaze_origin_validity	right_gaze_point_validity
16	3982843925	222142124834	1636632216.6086197													0	0	0													0	0	0
17	3982852246	222142133153	1636632216.6175616													0	0	0													0	0	0
18	3982860593	222142141498	1636632216.6265469													0	0	0													0	0	0
19	3982868921	222142149824	1636632216.6335473													0	0	0													0	0	0
20	3982877253	222142158154	1636632216.6425474													0	0	0													0	0	0
21	3982885590	222142166488	1636632216.6536													0	0	0													0	0	0
22	3982893919	222142174815	1636632216.660664													0	0	0													0	0	0
23	3982902252	222142183146	1636632216.6685953													0	0	0													0	0	0
24	3982910597	222142191491	1636632216.6766224													0	0	0													0	0	0
25	3982918917	222142199814	1636632216.6845937													0	0	0													0	0	0
26	3982927239	222142208138	1636632216.6925933													0	0	0													0	0	0
27	3982935585	222142216488	1636632216.7015953													0	0	0													0	0	0
28	3982943915	222142224821	1636632216.7102509													0	0	0													0	0	0
29	3982952247	222142233157	1636632216.718038	0.49798113107681274	0.4593331813812256	-1.0491943359375	162.538818359375	52.501708984375	0.5461118221282959	0.438851535320282	0.27229776978492737	-18.775924682617188	24.898582458496094	581.6893310546875		0	1	1													0	0	0
30	3982960582	222142241493	1636632216.7266748	0.5254490971565247	0.4821588397026062	9.245880126953125	156.23460388183594	49.825721740722656	0.5459505319595337	0.438798725605011	0.27244749665260315	-18.71169090270996	24.92201805114746	581.7342529296875	3.4833984375	1	1	1													0	0	0
31	3982968913	222142249823	1636632216.7346933	0.5375131964683533	0.45778802037239075	13.767547607421875	162.965576171875	52.68285369873047	0.5457923412322998	0.43879151344299316	0.2722422182559967	-18.64529800415039	24.922317504882812	581.6726684570312		0	1	1													0	0	0
32	3982977245	222142258153	1636632216.7436352													0	0	0	0.6584819555282593	0.5818812847137451	59.10699462890625	128.6922607421875	38.134681701660156	0.38823312520980835	0.4455691874027252	0.24014851450920105	44.754940032958984	21.795793533325195	572.0445556640625		0	1	1
33	3982985580	222142266487	1636632216.7513647	0.5401254892349243	0.47380393743515015	14.74664306640625	158.54214477539062	50.80521774291992	0.5456603765487671	0.43873345851898193	0.27202513813972473	-18.589492797851562	24.943153381347656	581.6075439453125	3.370208740234375	1	1	1	0.6413295269012451	0.5807928442955017	52.67822265625	128.99288940429688	38.26228332519531	0.38797587156295776	0.4455774426460266	0.2402534931898117	44.86043167114258	21.7936954498291	572.0760498046875	3.15716552734375	1	1	1
34	3982993910	222142274815	1636632216.760004													0	0	0													0	0	0
35	3983002243	222142283147	1636632216.769049	0.5511245131492615	0.42607250809669495	18.869110107421875	171.72508239746094	56.40104675292969	0.5455707907676697	0.438772588968277	0.27164164185523987	-18.549345016479492	24.922292709350586	581.4924926757812		0	1	1	0.6241704225540161	0.5642142295837402	46.24693298339844	133.5717315673828	40.205894470214844	0.387889564037323	0.4455956220626831	0.24010376632213593	44.8914680480957	21.784700393676758	572.0311279296875		0	1	1
36	3983010567	222142291470	1636632216.7766626	0.5565432906150818	0.4253341555595398	20.90008544921875	171.92901611328125	56.48760986328125	0.5453978776931763	0.4386846423149109	0.27160096168518066	-18.47857093811035	24.957571029663086	581.4802856445312	3.3249053955078125	1	1	1	0.6232168674468994	0.5517193078994751	45.88954162597656	137.022705078125	41.670745849609375	0.38770121335983276	0.44557419419288635	0.23866800963878632	44.93302536010742	21.776872634887695	571.6004028320312	3.375579833984375	1	1	1
37	3983018907	222142299811	1636632216.7846997	0.5673501491546631	0.5307748913764954	24.950531005859375	142.80734252929688	44.126182556152344	0.5452629923820496	0.4386224150657654	0.2712341248989105	-18.42018699645996	24.97817611694336	581.3702392578125		0	1	1	0.6232168674468994	0.5517193078994751	45.88954162597656	137.022705078125	41.670745849609375	0.38750532269477844	0.4455510377883911	0.23717285692691803	44.9760856628418	21.769033432006836	571.15185546875		0	1	1
